input_Vessel Type,input_Vessel Volume,input_Vessel Name,input_Timepoint (hr),input_Agitation,input_DO,input_pH setpoint,input_Gas flow,input_Air (%),input_O2,input_Temp,input_Media type,input_Feed Type,input_Glucose Limit,output_OD600,output_WCW (g/L),output_Agitation.1,output_Air %,output_D0 %,output_GasFlow,output_O2.1,output_Ph,output_Feed %,output_Feed,output_Temp.1,output_Titre (mg/ml),output_Glycerol (g/L),output_Glucose (g/L),output_Acetate (mmol/L),output_Phosphate (mmol/L)
5L Fermenter,5000ml,Ferm4,0.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,0.254,,1185.08,100.0,99.16,5.0,0.0,6.78,0.0,0.0,30.28,,,0.32,1.8,27.47
5L Fermenter,5000ml,Ferm4,2.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,0.487,,1185.4990234375,100.0,101.12370300293,5.00000095367432,0.0,6.76224422454834,0.0,0.0,30.0,,,,,
5L Fermenter,5000ml,Ferm4,4.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,1.64,,1184.38793945312,100.0,102.795303344727,5.00000095367432,0.0,6.82701015472412,0.0,0.0,30.0,,,0.0,8.35,22.96
5L Fermenter,5000ml,Ferm4,6.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,5.22,,1184.9169921875,100.0,91.9205017089844,5.00000095367432,0.0,6.75235891342163,0.0,0.0,30.03,,,,,
5L Fermenter,5000ml,Ferm4,8.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,13.08,,1185.54296875,100.0,56.2592811584473,5.00000381469727,0.0,6.70906782150269,0.0,0.0,29.99,,,0.0,24.72,20.71
5L Fermenter,5000ml,Ferm4,8.38,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,17.6,51.0,1185.11999511719,100.0,47.8918991088867,5.00002384185791,0.0,6.70872783660889,0.0,0.0,30.0,,,0.0,20.4,18.62
5L Fermenter,5000ml,Ferm4,8.8,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,,,1185.14294433594,100.0,79.3647766113281,5.00000095367432,0.0,6.89825201034546,0.0,0.0,29.96,,,,,
5L Fermenter,5000ml,Ferm4,8.83,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,,51.0,1184.88098144531,100.0,79.448356628418,5.00000095367432,0.0,6.90097904205322,0.0,0.0,29.95,,,,,
5L Fermenter,5000ml,Ferm4,10.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,25.1,64.0000000000001,1184.68505859375,100.0,70.3008880615234,5.00000095367432,0.0,6.76803922653198,9.05,0.3077,29.95,,,0.0,0.91,18.56
5L Fermenter,5000ml,Ferm4,12.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,37.1,90.5,1185.00805664062,100.0,47.7340202331543,5.00000095367432,0.0,6.76428890228271,13.47,0.45798,30.0,,,0.0,1.03,14.24
5L Fermenter,5000ml,Ferm4,14.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,44.7,122.0,1184.92004394531,94.1850967407227,40.0724296569824,5.00276899337769,5.814857006073,6.75269985198975,20.14,0.68476,30.0,,,1.08428,3.0,13.23
5L Fermenter,5000ml,Ferm4,16.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,50.4,153.5,1185.56298828125,86.879997253418,38.6979904174805,5.03999900817871,13.117449760437,6.73633813858032,17.9,0.6086,30.08,,,2.53608,3.95,8.41
5L Fermenter,5000ml,Ferm4,18.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,63.1,175.5,1185.08898925781,97.419563293457,36.9427909851074,5.00728988647461,2.59215497970581,6.78849077224731,17.9,0.6086,30.04,,,0.0,4.45,4.15
5L Fermenter,5000ml,Ferm4,20.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,66.8,193.5,1185.22705078125,96.7046127319336,40.741081237793,5.00663709640503,3.30096411705017,6.71179485321045,17.9,0.6086,30.0,,,0.0,0.92,0.14
5L Fermenter,5000ml,Ferm4,24.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,87.8,215.5,1184.99401855469,92.4905090332031,39.8309783935547,4.91999816894531,7.50598478317261,6.72065782546997,17.9,0.6086,30.0,,,1.26457,1.82,0.01
5L Fermenter,5000ml,Ferm4,28.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,92.8,208.0,1184.78796386719,92.6293182373047,39.5245208740234,5.08947992324829,7.36803102493286,6.72577095031738,17.9,0.6086,30.01,,,5.00219,2.26,0.0
5L Fermenter,5000ml,Ferm4,32.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,96.0,232.5,1184.68701171875,96.4271926879883,40.0724296569824,4.94000005722046,3.572674036026,6.70088815689087,12.5,0.425,30.0,,,1.44739,1.85,0.0
5L Fermenter,5000ml,Ferm4,36.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,91.8,202.0,1185.36694335937,97.8675537109375,39.5709495544434,5.00528717041016,2.13345289230347,6.7186131477356,12.5,0.425,30.0,,,0.70415,1.04,0.0
5L Fermenter,5000ml,Ferm4,40.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,103.6,198.5,1184.84997558594,98.6421890258789,40.5089111328125,5.00008821487427,1.35709404945374,6.7019100189209,12.5,0.425,30.0,,,0.86049,1.12,0.0
5L Fermenter,5000ml,Ferm4,44.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,104.2,206.5,1184.91101074219,98.9354400634766,40.1281509399414,5.02152395248413,1.06446504592896,6.72406721115112,12.5,0.425,30.0,,,1.49782,0.95,0.0
5L Fermenter,5000ml,Ferm4,48.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,105.6,197.0,1185.02001953125,98.8893432617187,40.5553512573242,5.00006580352783,1.11181604862213,6.71963500976562,12.5,0.425,30.0,,,2.26627,1.25,0.0
